unit:id:admin	unit:name	unit:classification	unit:relation_type	unit:related_unit_id:admin	unit:related_unit	unit:related_unit_class	unit:related_unit_first_cited_date	unit:related_unit_first_cited_date_start	unit:related_unit_last_cited_date	unit:related_unit_open
572c1ebb-73b5-4404-ad96-8644b9beb8a9	Brigade Territoriale (Dinangourou)	Gendarmerie;Military	child	9ba38934-e36c-4808-819b-8a27e0802025	Compagnie Territoriale (Koro)	Command	2017-10-09	N		Y
ff1e53a8-b3c5-4727-82db-6e364f0c031f	Brigade Territoriale (Dioïla)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-04-30	N	2019-01-19	Y
c2207cf2-c6ab-4c57-b1d5-02e1a4180dfa	Brigade Territoriale (Dioro)	Gendarmerie;Military	child	d0a76aa7-1c8b-43ad-8d3e-cab1784e3364	Compagnie Territoriale (Niono)	Command	2017-10-09	N		Y
57d99964-94a1-474a-b66c-151359658a52	Brigade Territoriale (Dioungani-Peulh)	Gendarmerie;Military	child	9ba38934-e36c-4808-819b-8a27e0802025	Compagnie Territoriale (Koro)	Command	2017-10-09	Y		Y
6e18dc84-dd33-427f-92f4-7a28fa5fcf45	Brigade Territoriale (Dioura)	Gendarmerie;Military	child	0542e865-157a-44e5-ac15-fd168c062d13	Compagnie Territoriale (Mopti)	Command	2017-10-09	N		Y
1ce77690-81d9-4f7c-9fa3-93334bc0c847	Brigade Territoriale (Diré)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-04-30	N	2020-07-27	Y
fade5099-a65f-45a0-a6bc-13687ead282c	Brigade Territoriale (Djenné)	Gendarmerie;Military	child	0542e865-157a-44e5-ac15-fd168c062d13	Compagnie Territoriale (Mopti)	Command	2017-10-09	N		Y
502e16ef-051c-421c-8bbb-85db69a55c88	Brigade Territoriale (Djougoudini)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-04	N	2019-01-19	Y
f274711d-e232-456b-8770-b04c55bc390f	Brigade Territoriale (Dogodouman)	Gendarmerie;Military	child	fa0acf48-67e8-49a2-9a21-23c982dd7c31	Compagnie Territoriale (Bamako Rive Gauche)	Command	2017-10-09	N		Y
4783d6fa-c861-410c-b842-53c8fdfec928	Brigade Territoriale (Douentza)	Gendarmerie;Military	child	057dc644-3923-48e1-b8aa-afe7d98b2a68	Compagnie Territoriale (Douentza)	Command	2017-10-09	N		Y
83a09262-2f65-4632-b5b1-0d2f2c712f33	Brigade Territoriale (Faladié)	Gendarmerie;Military	child	f85467eb-0021-4325-b7bb-156391d8b32a	Compagnie Territoriale (Bamako Rive Droite)	Command	2017-10-09	N		Y
628aed62-a6d9-4428-b0b7-21da04ac73b6	Brigade Territoriale (Fana)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-04-30	N	2019-01-19	Y
3a12bc07-f3fa-404c-ab9d-8ad721682134	Brigade Territoriale (Gao)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-19	N	2020-06-30	Y
836d18ce-298d-4e12-b7fb-c060eed74291	Brigade Territoriale (Gossi)	Gendarmerie;Military	child	057dc644-3923-48e1-b8aa-afe7d98b2a68	Compagnie Territoriale (Douentza)	Command	2017-10-09	N		Y
68073d81-5d62-46cb-8caa-4543e72d9cfe	Brigade Territoriale (Goundam)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-07-08	N	2019-04-12	Y
f98c41e3-d046-4a14-9808-08a6917f47a2	Brigade Territoriale (Gourma-Rharous)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-07-08	N	2019-01-19	Y
676b89bc-0988-453e-b057-16df4f41b8b5	Brigade Territoriale (Guire)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2017-10-19	N	2019-01-19	Y
cbd5f8fd-eac9-48ae-8696-fcefe2bacda7	Brigade Territoriale (Hombori)	Gendarmerie;Military	child	057dc644-3923-48e1-b8aa-afe7d98b2a68	Compagnie Territoriale (Douentza)	Command	2017-10-09	N		Y
6aaabc39-e4b3-4216-bb71-1d169cb142c1	Brigade Territoriale (Kadiolo)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2016-01-29	N	2019-01-19	Y
a59682b2-902a-4389-afc0-12318e1ec1fb	Brigade Territoriale (Kalaban-Coro)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2018-02-27	N	2019-01-19	Y
8443f53a-83a9-4618-89fd-40c7236301c3	Brigade Territoriale (Kalabancoro)	Gendarmerie;Military	child	f85467eb-0021-4325-b7bb-156391d8b32a	Compagnie Territoriale (Bamako Rive Droite)	Command	2017-10-09	N		Y
c12b1133-c5cd-4668-9212-c27063a9deaa	Brigade Territoriale (Kalana)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2016-03-02	N	2019-01-19	Y
2a873dc0-3b77-4323-9d2b-d2367cdb25af	Brigade Territoriale (Kangaba)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-04-30	N	2019-01-19	Y
f0283b60-df5f-47ad-a8ee-ce944ef83989	Brigade Territoriale (Kangaré)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2017-05-20	N	2019-01-19	Y
